"Selected Living Cost Indexes (LCIs) by household type and CPI, Australia, quarterly and annual movement (%)"
,"Change from previous quarter (%)","Annual change (%)"
"Pensioner and beneficiary LCI (PBLCI)","1.0","2.9"
"Employee LCI","0.4","2.6"
"Age pensioner LCI","1.0","2.7"
"Other government transfer recipient LCI","1.0","3.1"
"Self-funded retiree LCI","0.6","1.7"
"Consumer Price Index (CPI)","0.7","2.1"

"Source: Australian Bureau of Statistics, Selected Living Cost Indexes, Australia June 2025"
